Comment,Designator,Footprint,LCSC Part #
,JP1,2X03,
,C1,153CLV-0505,
,C2,153CLV-0505,
,C3,C0603K,
,C4,C0603K,
,C5,C0603K,
,C6,C0603K,
,C7,C0603K,
,C8,C0603K,
,USB2RS1,USB2RS485,
,USB2RS2,USB2RS485,
,USB2RS3,USB2RS485,
,USB2RS5,USB2RS485,
1N5819HW-7,D1 D3,SOD3715X145N,
10uF,C9 C10 C11 C12 C17 C18 C19 C20 C25 C26 C27 C28 C33 C34 C35 C36 C41 C42 C43 C44,C0805,
100nF,C15 C16 C23 C24 C31 C32 C39 C40 C47 C48,C0805K,
330,R1,M0805,
5406528-1,J1,5406528-1,
C-GRID-02-70543,X6 X8,70543-02,
C-GRID-04-70543,X5 X7,70543-04,
CH340G,U5 U7 U9 U11 U13,SOIC127P600X180-16N,
CRJ011-ML1-TH,J2,CUI_CRJ011-ML1-TH,
HLK-10M12,PS2,CONV_HLK-10M12,
HLK-20M12,PS1,CONV_HLK-20M12,
LHN974_RED_LED_1206,D2,LEDC3216X120N,
MAX232CSE,U4 U6 U8 U10 U12,SOIC127P600X175-16N,
MSTBA2,X1 X2 X3 X4,MSTBA2,
MSTBVA2,MSTBVA1,MSTBVA2,
RJ45-8N-B,J3 J5,TE_RJ45-8N-B,
SN74LV123ANSR,U1 U2 U3,SOIC127P780X200-16N,
