Designator,Mid X,Mid Y,Layer,Rotation
C1,44.10,59.35,Top,0.0
C2,44.09,65.20,Top,0.0
C3,94.73,98.05,Bottom,180.0
C4,94.72,96.61,Bottom,180.0
C5,54.15,52.80,Top,180.0
C6,59.68,52.73,Top,0.0
C7,43.18,52.62,Top,180.0
C8,48.77,52.62,Top,0.0
C9,39.35,119.84,Top,0.0
C10,43.83,119.84,Top,0.0
C11,34.83,119.85,Top,0.0
C12,48.06,125.81,Top,90.0
C15,30.51,119.85,Top,180.0
C16,25.81,120.09,Top,180.0
C17,96.88,30.16,Top,270.0
C18,96.88,26.16,Top,270.0
C19,108.88,30.16,Top,270.0
C20,96.88,22.16,Top,270.0
C23,108.92,22.23,Top,90.0
C24,108.92,26.36,Top,270.0
C25,79.88,30.16,Top,270.0
C26,79.88,26.16,Top,270.0
C27,91.88,30.16,Top,270.0
C28,79.88,22.16,Top,270.0
C31,91.88,22.16,Top,90.0
C32,91.88,26.16,Top,270.0
C33,63.38,30.16,Top,270.0
C34,63.38,26.16,Top,270.0
C35,74.88,30.16,Top,270.0
C36,63.38,22.16,Top,270.0
C39,74.98,22.10,Top,90.0
C40,74.98,26.10,Top,270.0
C41,46.38,30.16,Top,270.0
C42,46.38,26.16,Top,270.0
C43,57.88,30.16,Top,270.0
C44,46.38,22.16,Top,270.0
C47,57.82,22.10,Top,90.0
C48,57.82,26.36,Top,270.0
D1,50.56,60.73,Top,90.0
D2,65.09,109.54,Top,0.0
D3,50.60,66.70,Top,90.0
J1,67.55, 0.12,Top,0.0
J2,117.14, 7.19,Top,0.0
J3,120.79,31.74,Top,180.0
J5,36.12,142.03,Top,180.0
JP1,64.69,88.05,Bottom,90.0
MSTBVA1,19.05, 2.06,Top,0.0
PS1,20.78,41.25,Top,90.0
PS2,28.39,86.49,Top,0.0
R1,65.10,106.33,Top,0.0
U1,101.03,88.26,Bottom,0.0
U2,57.50,43.98,Top,0.0
U3,45.99,43.91,Top,0.0
U4,40.70,125.84,Top,90.0
U5,28.95,125.79,Top,90.0
U6,103.38,24.66,Top,0.0
U7,95.88,24.66,Bottom,0.0
U8,86.38,24.66,Top,0.0
U9,78.88,24.66,Bottom,0.0
U10,69.38,24.66,Top,0.0
U11,61.88,24.66,Bottom,0.0
U12,52.25,24.66,Top,0.0
U13,44.88,24.66,Bottom,0.0
USB2RS1,80.56,89.33,Top,0.0
USB2RS2,80.62,73.13,Top,0.0
USB2RS3,80.56,57.00,Top,0.0
USB2RS5,80.57,105.47,Top,0.0
X1,132.11,106.54,Top,90.0
X2,132.11,89.57,Top,90.0
X3,132.11,72.60,Top,90.0
X4,132.11,55.63,Top,90.0
X5,86.00,118.00,Top,180.0
X6,83.50,44.50,Top,0.0
X7,102.27,118.14,Top,180.0
X8,67.73,75.12,Top,90.0
